objID,ra,dec,z,zErr,photoz,photozErr,u,g,r,i,zmag,err_u,err_g,err_r,err_i,err_z
1237662337863516273,235.65648,35.854315,0.000108371,1.279297E-05,0.228111,0.027161,21.56638,19.52135,18.16634,17.50483,17.12782,0.1472794,0.01290123,0.007261376,0.006625654,0.0135492
1237662337863516392,235.69716,35.92491,0.2994932,5.406913E-05,0.285967,0.018338,21.5689,19.89401,18.33914,17.74144,17.426,0.2496632,0.02447742,0.0109502,0.01042046,0.02609925
1237662337863516685,235.71996,35.916906,0.6306213,0.0002295633,0.596463,0.032225,24.98574,22.63442,21.01281,19.87327,19.24409,1.180998,0.1541945,0.06121764,0.03693559,0.07774162
1237662337863516814,235.73212,35.856115,0.6017247,0.0001309612,0.529569,0.108673,21.56553,20.82444,19.81423,19.10827,18.44324,0.4057909,0.08316717,0.05363105,0.04842393,0.1004545
1237662337863582022,235.87531,35.724464,0.4476935,7.137183E-05,0.431675,0.021889,26.40112,21.17193,19.44326,18.67093,18.27087,0.5782071,0.05477108,0.01956457,0.01664255,0.04053316
1237662337863582085,235.86107,35.709683,0.3240103,7.062044E-05,0.367755,0.031704,24.26135,21.09734,19.33676,18.66924,18.3264,1.680108,0.0586236,0.01993789,0.01835352,0.04743645
1237662337863582465,235.88399,35.804221,0.5574839,0.0001565974,0.504631,0.052588,22.77079,21.93453,20.36336,19.50908,19.20146,0.8887923,0.166081,0.06479464,0.0509958,0.1470808
1237662337863582680,235.90981,35.74771,0.5131718,6.619341E-05,0.487443,0.021259,22.85927,22.05103,20.24304,19.37879,18.87616,0.5662118,0.1076225,0.03470054,0.02726886,0.06278358
1237662337863647912,235.91526,35.668117,0.5414165,0.0001146773,0.525997,0.023351,22.87742,21.74492,20.02805,19.02767,18.47599,0.7482187,0.1067589,0.03664385,0.02560429,0.05678616
1237662337863648076,235.96711,35.660018,0.560078,0.0001875092,0.533869,0.04014,22.53489,21.88585,20.49162,19.60374,19.02587,0.51135,0.116231,0.0514207,0.03932751,0.0872261
1237662337863648136,235.95002,35.616621,0.325043,9.401295E-05,0.35288,0.044799,22.90279,21.75568,20.10997,19.53852,19.1312,0.5160738,0.07430207,0.02775827,0.02697598,0.06660493
1237662337863713176,236.1726,35.598975,0,0,0.406469,0.024384,24.68796,21.49072,19.61157,18.90881,18.44403,1.716031,0.0813376,0.0244358,0.02231994,0.05095177
1237662473154003452,235.88374,36.154042,0.6604024,0.0002194092,0.581167,0.027536,26.07517,21.95453,20.30204,19.13988,18.71963,1.256612,0.1910455,0.06437058,0.03257702,0.07775649
